non_target_genome_1	non_target_genome_3	non_target_genome_4	non_target_genome_5	non_target_genome_2	target_genome_2	target_genome_5	target_genome_1	target_genome_3	target_genome_4
100.0	99.933472	99.892715	99.879028	99.882767	99.813721	99.818558	99.811203	99.863693	99.842545
99.933472	100.0	99.88739	99.883972	99.87516	99.812248	99.81366	99.810974	99.865501	99.83728
99.892715	99.88739	100.0	99.91391	99.907051	99.811081	99.811714	99.806396	99.854622	99.833305
99.879028	99.883972	99.91391	100.0	99.941727	99.795914	99.797668	99.794449	99.851151	99.820984
99.882767	99.87516	99.907051	99.941727	100.0	99.795898	99.797218	99.793846	99.847466	99.820221
99.813721	99.812248	99.811081	99.795914	99.795898	100.0	99.913994	99.910286	99.895607	99.903839
99.818558	99.81366	99.811714	99.797668	99.797218	99.913994	100.0	99.929749	99.877724	99.88887
99.811203	99.810974	99.806396	99.794449	99.793846	99.910286	99.929749	100.0	99.868645	99.88205
99.863693	99.865501	99.854622	99.851151	99.847466	99.895607	99.877724	99.868645	100.0	99.900864
99.842545	99.83728	99.833305	99.820984	99.820221	99.903839	99.88887	99.88205	99.900864	100.0
