genome_id	group	marker_id	start	end	orientation	length	duplication
target_genome_1.fasta	target	unique_marker1	876677	876877	-	200	False
target_genome_1.fasta	target	unique_marker2	1569832	1570332	+	500	True
target_genome_1.fasta	target	unique_marker2	1295113	1295613	+	500	True
target_genome_1.fasta	target	unique_marker3	865207	866207	-	1000	True
target_genome_1.fasta	target	unique_marker3	3071369	3072369	-	1000	True
target_genome_1.fasta	target	unique_marker4	1021708	1023708	-	2000	False
target_genome_1.fasta	target	unique_marker5	3188993	3193993	+	5000	False
target_genome_1.fasta	target	shared_marker1	3795058	3795258	+	200	False
target_genome_1.fasta	target	shared_marker2	2085476	2085976	-	500	True
target_genome_1.fasta	target	shared_marker2	4543444	4543944	-	500	True
target_genome_1.fasta	target	shared_marker3	1495284	1496284	-	1000	False
target_genome_1.fasta	target	shared_marker4	256842	258842	+	2000	False
target_genome_1.fasta	target	shared_marker5	1540766	1545766	-	5000	False
target_genome_2.fasta	target	unique_marker1	1750483	1750683	+	200	True
target_genome_2.fasta	target	unique_marker1	1915569	1915769	+	200	True
target_genome_2.fasta	target	unique_marker2	3760911	3761411	-	500	True
target_genome_2.fasta	target	unique_marker2	4977076	4977576	-	500	True
target_genome_2.fasta	target	unique_marker3	3381362	3382362	+	1000	False
target_genome_2.fasta	target	unique_marker4	2148086	2150086	+	2000	True
target_genome_2.fasta	target	unique_marker4	3027614	3029614	+	2000	True
target_genome_2.fasta	target	unique_marker5	4581724	4586724	+	5000	False
target_genome_2.fasta	target	shared_marker1	1362530	1362730	+	200	False
target_genome_2.fasta	target	shared_marker2	826490	826990	+	500	False
target_genome_2.fasta	target	shared_marker3	2816431	2817431	+	1000	False
target_genome_2.fasta	target	shared_marker4	1495477	1497477	-	2000	True
target_genome_2.fasta	target	shared_marker4	1644910	1646910	-	2000	True
target_genome_2.fasta	target	shared_marker5	1308709	1313709	-	5000	False
target_genome_3.fasta	target	unique_marker1	3060832	3061032	+	200	False
target_genome_3.fasta	target	unique_marker2	2754649	2755149	+	500	False
target_genome_3.fasta	target	unique_marker3	1362590	1363590	-	1000	True
target_genome_3.fasta	target	unique_marker3	4558154	4559154	-	1000	True
target_genome_3.fasta	target	unique_marker4	3600802	3602802	-	2000	False
target_genome_3.fasta	target	unique_marker5	1938322	1943322	-	5000	False
target_genome_3.fasta	target	shared_marker1	2899972	2900172	+	200	False
target_genome_3.fasta	target	shared_marker2	3605888	3606388	+	500	True
target_genome_3.fasta	target	shared_marker2	2488649	2489149	+	500	True
target_genome_3.fasta	target	shared_marker3	3284520	3285520	+	1000	True
target_genome_3.fasta	target	shared_marker3	542608	543608	+	1000	True
target_genome_3.fasta	target	shared_marker4	1533566	1535566	-	2000	False
